,ticker,precoAtual,risco,stop_loss,retornoStopLoss,stop_gain,retornoStopGain,retornoPrevisto,retornoEsperado,scoreTotal
197,VULC3.SA,8.6899995803833,1.335220027043552,-1006.4058991436916,-116.81196176528478,953.4446033531625,108.71745102329541,64.94086234134741,2773.558246749249,1198
183,CMIG4.SA,12.649999618530273,0.12197695508048025,3.2660281679725953,-0.7418159473152572,31.15379477470956,1.462750649341848,28.973513351055875,0.011857738023169695,1178
159,VIIA3.SA,4.099999904632568,0.042164086578990866,2.7378577484855353,-0.3322298019099844,5.819630106241062,0.419422010148218,2.2613499884272494,0.0024390477073261696,1064
201,RCSL3.SA,3.9800000190734863,13.593611697095275,-4.6802112720040506e+29,-1.1759324747675675e+29,4.421126632023691e+29,1.1108358318683866e+29,-603.2608869049031,1.149100860395335e+29,1000
180,MGLU3.SA,6.570000171661377,0.03758753266637047,4.611428543461737,-0.29810830700547297,9.036123753344217,0.37536126594334984,1.9058088631577084,0.003044113822841199,992
123,GOLL4.SA,17.739999771118164,0.04027494000607234,12.001484626825947,-0.3234788736375792,24.966276508641467,0.40734367704379215,0.22969711699575068,0.0022548043629042613,981
49,PMAM3.SA,8.220000267028809,0.03577424559922071,5.878898493703067,-0.2848055592791304,11.107345107833233,0.3512584850375047,0.7988655920419891,0.00243305746003597,970
105,LREN3.SA,25.610000610351562,0.032687898286163704,18.884658725375637,-0.26260608062061286,33.853243530987186,0.32187593612565957,0.24099222015999588,0.0011713935546067145,960
103,TRPL4.SA,23.780000686645508,0.027769354514012832,18.419926110282585,-0.22540262496178398,30.099757629227277,0.26575932548777637,21.562431663013538,0.002102578297340729,952
200,RANI3.SA,6.159999847412109,5.35649460743285,-7.699207431326228e+17,-1.2498713672145234e+17,7.261323899176553e+17,1.1787863764683571e+17,0.11630225743854905,3.1720850649275945e+18,944
143,BRAP4.SA,30.0,0.03163938073873487,22.278505181175944,-0.25738316062746847,39.395467723345334,0.3131822574448444,0.7776185895244976,0.004666666666666597,919
155,LAME3.SA,6.619999885559082,0.028852029053048154,5.043188440371571,-0.23818904417614561,8.485032275173658,0.28172695194194364,1.654873610318079,1.7287147935363123e-08,910
80,CVCB3.SA,13.199999809265137,0.03366953509867902,9.596122270424303,-0.2730210296148078,17.557609437395804,0.3301219462951843,0.3799723066785854,1.4449611063227508e-08,895
111,BRFS3.SA,18.360000610351562,0.03061942343793887,13.738317971743188,-0.25172562554287836,23.91312069420985,0.3024575108525531,0.14119982068848858,0.0010892913389752845,895
195,SUZB3.SA,61.040000915527344,0.2917032733231686,0.4526381477712222,-0.9925845651870546,247.5348041799791,3.0552883431725384,0.003193491764666323,0.020806013522676636,892
179,SBFG3.SA,22.100000381469727,0.038680693371758,15.380906375451044,-0.3040313977393624,30.600106121969354,0.3846201626144199,-0.49701550501265235,0.0031674034987332345,883
115,ANIM3.SA,8.069999694824219,0.03246748937931934,5.928164820706282,-0.26540705763491235,10.669567746234817,0.3221274039301214,0.16775098269394917,0.0037175100756225987,880
88,GOAU4.SA,11.989999771118164,0.03149881819601171,8.92985014521637,-0.25522516132762274,15.730274228746554,0.3119495020040004,0.7690698091379349,1.9089394509563817e-08,868
128,YDUQ3.SA,21.34000015258789,0.029774602524471255,16.012962868710925,-0.2496268625017305,27.498813903575613,0.28860420369963524,0.20414888605982906,0.0009371999657499241,856
162,MYPK3.SA,13.970000267028809,0.03301197688713085,10.15167431228325,-0.27332325567361315,18.524446698201256,0.3260162021558146,-0.1272126759190313,0.0007158004853293765,851
94,PCAR3.SA,21.709999084472656,0.03712382636466696,15.246509184589748,-0.29771949205219916,29.734942021203832,0.3696427118907961,-0.12541705250801938,0.0009212766637862746,846
108,EZTC3.SA,18.56999969482422,0.027324493457367392,14.347314961487898,-0.22739282728762,23.47795439418512,0.26429481852543235,0.6955012761613861,0.0021540283162702067,833
62,LOGN3.SA,24.229999542236328,0.036718670440752,17.11436194097886,-0.29367056276059367,33.064757677640166,0.36462064805257643,-0.12136552306852277,0.004127134116918008,813
156,ROMI3.SA,15.239999771118164,0.030227435844317578,11.498507167902838,-0.24550476767761864,19.730232286989683,0.2946346839440974,0.453952949540281,0.000656183007350597,807
101,ELET3.SA,32.529998779296875,0.03208652417779328,23.804496998885387,-0.2682293915720856,42.97788483835938,0.3211769582269972,0.2651059401462603,0.0009222631979384222,802
97,BPAN4.SA,9.989999771118164,0.03420463013677399,7.203271643655857,-0.2789517709018319,13.341649412670272,0.3355004723065136,0.718072152304829,2.291109524321655e-08,802
56,MILS3.SA,5.889999866485596,0.033156043011365655,4.313820520269426,-0.267602611535649,7.780149616418324,0.32090828400315896,0.021060186461824504,2.2667980825730183e-08,797
173,LCAM3.SA,25.1200008392334,0.028895133286413067,19.12098881041559,-0.2388141651431921,32.16484925037902,0.2804477776984269,0.10129988405145762,0.0015923232257273323,793
71,QUAL3.SA,16.559999465942383,0.027099038594661874,12.826630062514436,-0.22544501955486573,20.90580610426128,0.2624279455598153,0.1311400071678761,0.0012077617574051125,793
160,RAPT4.SA,11.420000076293945,0.02776125166178437,8.769189527586969,-0.23212001147089534,14.50181581761585,0.2698612715177866,0.23118640332983786,0.0008756500559761182,793
140,BBAS3.SA,32.189998626708984,0.027591221581952294,24.83691591488069,-0.2284275559343213,41.02243566921727,0.2743845113177408,0.09495057906280846,0.0015533201436526145,790
172,LEVE3.SA,31.06999969482422,0.08183250424701764,13.184245483955019,-0.5756599416333013,58.30367763329389,0.876526495203229,-0.1208582729470451,9.822201052500645e-09,778
