,ticker,stop_loss,retornoStopLoss,stop_gain,retornoStopGain,retornoPrevisto,retornoEsperado
148,EDFO11B.SA,165.99382922278667,-0.22793567803355042,273.0546416523956,0.2700215890809099,0.12654684591636212,0.0020000000000000018
167,NVHO11.SA,6.436415036846937,-0.4649696442464293,20.058413608456796,0.6673660892511701,-0.16963343266915532,0.004156298265890257
83,FPAB11.SA,163.63695156392407,-0.17770376098530616,240.16491698149932,0.2068588793040167,0.07387139590416836,0.001507537688442362
163,KINP11.SA,8.006391033424537,-0.35948871732603704,18.28950664261713,0.4631605314093705,0.07181740540756265,0.0007999999999999119
140,FLMA11.SA,98.07785812378407,-0.1548655274050983,135.87913056544144,0.17086710032088437,0.11027026551442543,0.0012063502331813858
78,SPTW11.SA,37.8006342702009,-0.1612905585499288,53.347259645298145,0.18365342814556262,0.21218306689626298,0.0006656380159510977
30,CARE11.SA,0.28397544915587836,-0.32386795709044613,0.5940414894804571,0.41438454292217264,10.321534061289913,3.122148162226779e-08
1,RBVA11.SA,67.0493810905135,-0.30518776072006726,133.12364799908912,0.37951966838434315,0.7579137031889818,0.0023834196891192594
79,FVPQ11.SA,87.72619687068011,-0.17247245445815906,127.06086315128478,0.19857429101833657,0.03901429080064145,0.0007546256217101366
85,MALL11.SA,72.68070302453035,-0.15536664210442885,101.1997238551119,0.17605717915247188,0.14822981586766182,0.001510714045692696
76,FCFL11.SA,76.18406463845663,-0.23209288033971776,126.10637576069998,0.2711055027157727,-0.7452008756330777,0.0018143424774561545
21,EDGA11.SA,26.57146719901486,-0.16651606340958536,37.84872072799382,0.18722464630967361,0.172439735579053,0.0006273789134225716
161,HUSC11.SA,80.76004643545154,-0.3315672352305824,172.1404350640129,0.4247677164278887,-0.18934413823242935,0.00033107354144035206
129,MFII11.SA,92.15398875386758,-0.10962329706408136,116.15934478334671,0.1223125099840261,0.1374879574720853,0.0010628019323670745
0,HRDF11.SA,0.8621497483290921,-0.32644549406278045,1.7991342922998337,0.40557369727626535,0.14676953756896238,2.2351742234860694e-08
61,KFOF11.SA,60.245699464328254,-0.18255492592981482,88.94387639983911,0.20683690750085582,0.02819198045150073,0.00027141183970269545
59,RBRF11.SA,60.6630651031279,-0.13338478424103006,80.28456600774396,0.1469223715391994,0.4715810113086938,0.0002857142857142225
74,BCIA11.SA,68.70347285457997,-0.18385040858266954,101.70855653593429,0.20822708680461677,-0.03203586979882178,0.0007127547470502371
111,CEOC11.SA,47.931378629837916,-0.12068647760527484,61.68144987369533,0.1315621312233497,0.05153167594709274,0.00018348337506468582
84,JSRE11.SA,65.2248563146638,-0.09409921785189168,79.19985405153827,0.09999797293803159,0.11533514014297319,0.0008333333333334636
68,FIGS11.SA,44.16704168665163,-0.12210215700571636,56.939541198019015,0.1317737953441509,0.16532870335486471,0.0003975079738240961
56,BRCR11.SA,57.4816003382199,-0.10142880660729658,70.9478103288704,0.10907939620155882,0.15381507962254481,0.0006252740117806965
46,MGFF11.SA,53.80000761308356,-0.12120211466298214,69.46345216941475,0.1346529040238551,0.05407952110813907,0.000816706604049644
31,RECT11.SA,59.68925757943726,-0.10964712463760651,75.03462177427913,0.1192515028277712,0.4623666963975108,0.0007458097224022353
127,BTLG11.SA,89.59712194588364,-0.12843269176973438,117.2117667611676,0.14019224982078793,0.09434165768204172,0.0008754566689737064
5,KNRE11.SA,1.6129975989277658,-0.18535475586381767,2.4026301816642497,0.2134495750098666,-0.09505573241085163,0.005050495368779329
121,BBRC11.SA,82.2328902008225,-0.10916593678138509,103.10585345273202,0.11695218480842873,0.06881044111946855,2.6447907197635345e-08
147,VOTS11.SA,67.02904849470347,-0.22919676632480557,111.01418330626898,0.27661205698070623,-0.06292619512156372,0.0008049783379062703
72,IRDM11.SA,93.89681383805474,-0.1192494765923714,120.04992210024547,0.1260662359342386,0.6414970359076044,0.0003751935974058984
41,CXRI11.SA,52.17001348784051,-0.23324496199507194,86.85026626656172,0.27645892266209104,-8.002839325394064,0.0005878760131456939
18,CPFF11.SA,61.27004086579371,-0.14079311508250214,82.6083000060026,0.1584392488321893,0.159261909263416,0.0016828277312399553
113,VISC11.SA,84.75350695996897,-0.12778112012916087,110.41706416078556,0.13632876650679915,0.0678573219557832,0.0005145809611701857
20,BPML11.SA,64.16089602762884,-0.19567633536805862,97.62683891118604,0.22385411833500113,0.0042555783607198805,0.0017550879130663333
47,HSML11.SA,64.1212789012359,-0.1385022351427161,85.54884738947271,0.14938663225457138,0.049527557613898265,0.0006717680319658914
6,RBDS11.SA,8.782968794596618,-0.26686401250420366,15.807159252444988,0.31946242541293435,-8.17307902048708,0.0008347627834555116
19,CXCE11B.SA,30.310219627097922,-0.2424338690665454,51.18825891283193,0.2793866798360407,-21.591499901830236,0.0007498545295026027
49,HPDP11.SA,66.47932200746249,-0.17416991295077655,96.33955581402294,0.19676466849717933,0.02385551468095448,0.0013664596273292862
8,XPPR11.SA,51.22183775460037,-0.16180924164605903,72.06650050384529,0.17929143812899562,0.10163955952212023,0.000490908024035619
128,KNRI11.SA,120.6524317637013,-0.10074954602162878,148.57888984882175,0.1073927992585415,0.03219252515601334,0.0007453367550080969
88,OUJP11.SA,73.57179510044287,-0.12497866914568312,95.76484167674923,0.13897287810689352,0.03858301924588692,0.0003567812594198472
90,VVPR11.SA,79.07865941432385,-0.1760923458166226,115.32389830290083,0.20154088632431622,-0.02180112106328891,0.0022921091411955974
58,BICR11.SA,79.0606870361814,-0.16778224172440626,113.23803489687494,0.1919793147039468,0.015856316372174994,0.0015789473684211242
