,ticker,stop_loss,retornoStopLoss,stop_gain,retornoStopGain,retornoPrevisto,retornoEsperado,scoreTotal
158,HUSC11.SA,67.97203362593217,-0.4335663864505652,196.48531421852678,0.6373776184877231,0.045412625933731965,0.004999999999999893,868
10,MAXR11.SA,42.06729249632303,-0.48141899566077717,138.25091028166318,0.7042764497131178,1.3585304180259747,0.0034516425534734108,825
151,EDFO11B.SA,157.2361512923554,-0.3103072452011547,317.4863452342982,0.39260615485636285,0.011367341451416157,0.0009650156881477745,784
20,SCPF11.SA,5.42401885990201,-0.3001265987223213,10.62980945838747,0.3715883172112864,0.23233189570543478,0.003870967741935516,771
160,BZLI11.SA,11.236443061187174,-0.37121194552393744,26.511859420208307,0.4835958687814832,0.03358676846293629,0.00615552073870651,770
114,RBRP11.SA,56.39856025894502,-0.22518808147295621,91.63145682608952,0.2588467601810811,0.29021869882646034,0.0008242764626735788,743
89,FPAB11.SA,151.71093745313698,-0.24895575518249025,262.17622809135935,0.2979021192641551,-0.01068757567974421,0.0011386138613860286,736
161,KINP11.SA,7.13796030384731,-0.47126219971501415,22.819031991942644,0.6902986660698256,-0.029660673303704588,0.004444444444444473,733
1,RBVA11.SA,58.13798460151969,-0.40627057098988206,151.47328436789624,0.546908570265221,0.2645854201842619,0.0011233847335749836,728
153,ABCP11.SA,49.64407936658436,-0.27505728777745597,91.14454200456582,0.3309657934667354,-0.07095744132202186,0.0030665396140805434,727
58,RBGS11.SA,21.986272741284015,-0.21896010517843378,35.39620364527376,0.25741400088593713,0.16788604387792394,0.0007104931346628707,724
71,RBRF11.SA,59.80531326054559,-0.18198177046550557,88.28726655869109,0.2075949366931149,0.31232238822272484,0.0016413539686312983,723
77,FIGS11.SA,45.40839862420064,-0.17213491545264337,65.56106811964497,0.19527930617131184,0.055768943235627866,0.002370128158531104,701
78,RBRD11.SA,34.876248317952914,-0.2068172083304025,54.69022202584027,0.24380760763066722,-0.05285723822826871,0.0015919667353549993,683
44,FISC11.SA,96.4494388474532,-0.4154579463790715,256.40187746376347,0.5539507725076573,-2.471784227928638,0.002242424242424379,680
95,CBOP11.SA,51.15950205141013,-0.18144796717743794,75.18665605576156,0.20298649689218506,0.05455367753198659,0.0011200000000000099,669
119,SDIL11.SA,70.28266963335327,-0.1866373492103891,104.5925290459391,0.21042153238332428,0.030462821971529497,0.0006943216681858377,667
36,HGFF11.SA,54.987677946803544,-0.2150224760707744,88.294031405158,0.26044293445526656,-0.007608186973285469,0.0022840391330742893,663
22,CXCE11B.SA,28.416912872641443,-0.32581466562476247,59.618064190174344,0.41442614547879764,-20.235533031010995,0.002846938784745179,658
99,HGBS11.SA,143.52916612877897,-0.1507149933208345,196.95687455204836,0.16542529320738675,-0.004492644566336357,0.002011834319526562,651
133,ALZR11.SA,93.99223261713509,-0.15031431672931062,129.54365459529703,0.1710689873337552,0.1392799302388794,0.000632772117881153,649
7,IBFF11.SA,46.99075986071713,-0.20984094676025722,73.99590315014606,0.24425595478861495,0.18943623652998065,0.0010088915094219608,649
129,FIIP11B.SA,141.54858673863703,-0.16089522384230615,199.41576356498695,0.1821433438786817,0.08939519583164168,0.0001185461989705594,646
15,XTED11.SA,4.376647018515639,-0.30967714303143057,8.774349753723765,0.3839668048181688,-0.17559755271716804,0.0015772629607946342,642
40,CXRI11.SA,45.09339202181713,-0.3186250859190388,92.33903126505038,0.39527094045402666,-8.405853864681749,0.0009066136982098794,641
100,OUJP11.SA,73.30915213916555,-0.17351573098765083,106.11329731680021,0.19631680910562999,-0.010346387739900709,0.0014656488864781547,633
