,ticker,stop_loss,retornoStopLoss,stop_gain,retornoStopGain,retornoPrevisto,retornoEsperado,scoreTotal
166,NVHO11.SA,6.175134302984695,-0.4667414210993872,19.212056940512163,0.6590722855862983,0.11510697156792049,0.001727122316555585,924
159,DRIT11B.SA,60.97509186101943,-0.32249897932200633,127.83170600042206,0.42035228889357845,0.06314800498114304,0.00477777777777777,863
54,FISC11.SA,113.33845448964803,-0.31310027582031497,228.58789645869598,0.3853811906587634,0.5460685242525449,0.0004848484848485324,818
90,CXTL11.SA,226.27697860729543,-0.2355507479483262,376.96305593135344,0.2735238376059237,0.27347738258241283,0.0001351351351353003,799
92,SPTW11.SA,39.375513870833,-0.15846306688645173,55.47134911975876,0.18553853460922887,0.14687559589978827,0.0021371891967514323,796
30,SCPF11.SA,6.27450019221528,-0.22345293917560405,10.185775633831291,0.2606158081693868,0.6056192252114259,0.0037128807645068207,778
85,RBRD11.SA,37.50157298497918,-0.15154813715697335,51.605334254053254,0.1675414788074614,0.06625588565318363,0.0011312044388576137,736
65,KFOF11.SA,57.0638725422111,-0.1783459316097865,83.84272964119204,0.20723878078318814,0.04741046767621526,0.0025918367122745867,730
116,CEOC11.SA,45.83408634378364,-0.12178410519582994,59.212971934777876,0.13456550091715824,0.08672673684996579,0.0011496718695123143,724
93,FPAB11.SA,164.3964301043073,-0.17801784947846344,240.3959830060018,0.201979915030009,0.03944521058019279,0.0004999999999999449,723
160,HUSC11.SA,80.1903326459464,-0.3278825388747115,169.4714916220798,0.42042993118704475,-0.12433407529557572,0.000838173191287872,716
120,BBRC11.SA,77.0916179149347,-0.11031025323282306,96.97873550379695,0.11920062084284289,0.1007996760490415,0.0008078300391050064,703
131,WPLZ11.SA,52.79704992122804,-0.13758495804516002,70.52396433522541,0.15197587273774693,0.14018582944600055,0.000653361295317012,696
138,EURO11.SA,160.45208738959613,-0.15555974933821926,223.20589208115376,0.17470606038633174,0.18669923534823196,0.00036843058359004033,688
87,FVPQ11.SA,85.27726810308569,-0.17606504248226384,123.61276024669989,0.19432618595845308,-0.009959505010490699,0.0006763285024153909,686
100,CBOP11.SA,51.65274331704838,-0.12763478946592488,67.51491963211717,0.14026212930346782,0.12103729123412355,0.0013511386043632,680
28,CXCE11B.SA,29.429600951322513,-0.2428710635445468,50.308148682441114,0.2942667883938046,-20.921174257669655,0.004888116113617391,674
124,HGRE11.SA,102.24967845807137,-0.10831359474319402,127.65730884020498,0.11325813969339427,0.14895463213299576,0.0004360498112245814,667
76,FIGS11.SA,43.60466193351519,-0.12264263050010793,56.18117280791648,0.13040587415463256,0.2032561240318671,0.0004023991298498508,666
39,VSHO11.SA,60.89942459940475,-0.17064654301639437,87.75159545556357,0.19503738377866142,0.18458567615146748,0.0002723640847215325,662
147,BNFS11.SA,99.74655522854317,-0.1613003029295187,140.34113638956086,0.18003141368404818,0.04231366297659056,0.0009249112464639886,656
80,JRDM11.SA,53.50359038692883,-0.1082734935511862,67.15663859858233,0.1192773099763722,0.3563379789979304,0.0003333333333332966,645
89,JSRE11.SA,62.80213372261258,-0.09546113428533454,76.58312849808802,0.1030264750319898,0.13983707334901796,0.0005761154349475106,643
4,KNRE11.SA,1.4299364138722213,-0.18753612407927245,2.129327815166457,0.209845356082069,0.05838422523641129,5.418604009932437e-09,643
150,VOTS11.SA,66.70860566268675,-0.2332344176702672,110.61933043559884,0.2714865567310212,-0.01967376994268133,0.0008045977011492678,642
27,RBVO11.SA,12.60158706446719,-0.19220597715908816,19.0457706950593,0.2208827070083017,-0.5345381391589185,0.001282026797513991,642
163,ORPD11.SA,111.58339186791649,-0.15467127372790535,155.38027186068913,0.17712327167188735,0.0002494928225316162,0.0019696969696969546,641
21,RCRB11.SA,107.50213466510743,-0.183486771419211,158.68068304072898,0.20523073543249426,0.07421744700085764,0.0010633171350193926,637
118,VISC11.SA,83.22943773795535,-0.12803100682039248,108.57837160525976,0.13754190756167795,0.07445502447826025,0.000314332663353456,623
9,IBFF11.SA,48.95949529677701,-0.15470481967267424,67.87832787998914,0.17193249354042872,0.588615703438756,0.00017268355267407998,623
117,LVBI11.SA,74.87915704264691,-0.12216700628706667,96.72725637960818,0.13396545039883057,0.05098473354272759,0.00011719751330052652,622
15,SARE11.SA,52.38392647199285,-0.16639200597080894,74.88776636682445,0.1917212951142937,-0.0063711401939073875,0.0022278778973927604,620
29,RECT11.SA,54.84505503160402,-0.11023595758155591,68.93817445382633,0.11839998599032309,0.5573918157629254,9.90187487559524e-09,614
22,BPML11.SA,61.149745692421654,-0.19550396034952378,93.10713954560093,0.2249327315992935,0.033458960451656194,0.0007893416929787289,612
112,PORD11.SA,79.04118467405729,-0.11398738386698726,100.22983931572858,0.12352696272108776,0.13475052703517787,0.00011210532036742826,609
88,BREV11.SA,78.28802442429817,-0.18125891889187795,115.7612418381689,0.2106383446250928,-0.10446671004651453,0.0013595194486921702,603
119,RBRY11.SA,87.52963023778534,-0.12662513299088096,114.1756073954915,0.13924971068455205,0.0013151593936253647,0.0012971340821537058,602
60,HTMX11.SA,72.84234024547663,-0.15993148408969748,102.23600194886691,0.17905666045814228,-0.9271702485767901,0.0003459914178769452,586
17,BRCO11.SA,73.71312830269991,-0.12350618739449071,95.54168413362379,0.13604858343753112,0.051010878308958896,0.0011890788072925762,583
151,VLOL11.SA,81.10936351868831,-0.1462172261190704,110.02032274344698,0.15810866045733674,-0.013070773953762549,0.0002105263157894388,573
