,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
172,XPCM11,Lajes Corporativas,"R$ 19,13",58270.0,"R$ 0,11","0,49%","2,43%","4,43%","9,82%","0,81%","0,74%","0,82%","9,82%","12,84%","13,40%","-57,93%","R$ 132.802.297,76","R$ 55,00",0.35,,,,,"100,00%",,1
173,TRXF11,Outros,"R$ 101,40",95290.0,"R$ 0,90","0,89%","2,48%","4,55%","8,48%","0,83%","0,76%","0,71%","8,48%","3,40%","4,32%","3,17%","R$ 738.428.430,97","R$ 101,93",0.99,,,,,"0,00%",,44
174,NSLU11,Hospital,"R$ 224,97",4760.0,"R$ 1,96","0,82%","2,66%","5,10%","9,27%","0,89%","0,85%","0,77%","8,71%","12,22%","13,14%","-5,27%","R$ 249.602.180,19","R$ 218,03",1.03,,,,,"0,00%",,1
175,EVBI11,Híbrido,"R$ 94,49",1540.0,"R$ 0,75","0,78%","2,08%","4,03%","0,00%","0,69%","0,67%","0,00%","6,46%","-2,04%","-1,28%","2,38%","R$ 140.392.080,47","R$ 100,44",0.94,,,,,"0,00%",,2
176,FIIB11,Híbrido,"R$ 466,99",9880.0,"R$ 3,70","0,80%","2,30%","4,34%","8,14%","0,77%","0,72%","0,68%","7,60%","6,42%","7,27%","-5,03%","R$ 313.595.503,14","R$ 457,80",1.02,,,,,"6,28%",,1
177,HGCR11,Títulos e Val. Mob.,"R$ 105,45",115730.0,"R$ 1,25","1,18%","2,96%","5,27%","9,84%","0,99%","0,88%","0,82%","9,84%","3,20%","4,42%","12,36%","R$ 1.268.610.704,46","R$ 102,54",1.03,,,,,,,0
178,HGRE11,Lajes Corporativas,"R$ 132,50",140490.0,"R$ 2,75","2,02%","3,14%","4,68%","8,13%","1,05%","0,78%","0,68%","8,13%","13,43%","15,72%","-1,62%","R$ 1.949.751.010,85","R$ 164,98",0.8,,,,,"26,77%","30,07%",21
179,HGLG11,Logística,"R$ 170,14",260720.0,"R$ 1,75","1,03%","2,37%","4,37%","8,02%","0,79%","0,73%","0,67%","8,02%","6,60%","7,69%","2,84%","R$ 3.156.088.176,65","R$ 148,08",1.15,,,,,"7,20%","6,50%",17
180,KNSC11,Títulos e Val. Mob.,"R$ 99,47",332980.0,"R$ 1,45","1,44%","4,19%","7,57%","13,46%","1,40%","1,26%","1,12%","13,46%","4,06%","5,55%","11,35%","R$ 718.051.475,99","R$ 90,47",1.1,,,,,,,0
181,KNHY11,Títulos e Val. Mob.,"R$ 106,87",392500.0,"R$ 1,50","1,37%","4,09%","7,40%","13,75%","1,36%","1,23%","1,15%","13,75%","3,47%","4,89%","11,37%","R$ 1.420.712.754,91","R$ 99,41",1.07,,,,,,,0
182,KNIP11,Títulos e Val. Mob.,"R$ 104,00",807630.0,"R$ 1,50","1,43%","4,26%","7,53%","13,50%","1,42%","1,25%","1,13%","13,50%","2,72%","4,19%","5,76%","R$ 7.061.331.137,79","R$ 99,27",1.05,,,,,,,0
183,VCJR11,Títulos e Val. Mob.,"R$ 98,00",204000.0,"R$ 1,55","1,57%","4,32%","7,63%","11,88%","1,44%","1,27%","0,99%","11,88%","2,86%","4,47%","5,56%","R$ 1.108.573.860,66","R$ 95,53",1.03,,,,,,,0
184,HFOF11,Títulos e Val. Mob.,"R$ 79,00",255280.0,"R$ 0,60","0,73%","2,23%","4,25%","7,70%","0,74%","0,71%","0,64%","7,70%","4,59%","5,36%","-15,04%","R$ 1.994.343.584,43","R$ 86,76",0.91,,,,,,,0
185,HLOG11,Logística,"R$ 93,14",9520.0,"R$ 0,63","0,66%","1,93%","3,68%","6,94%","0,64%","0,61%","0,58%","6,94%","-1,28%","-0,62%","-14,44%","R$ 479.268.643,67","R$ 112,77",0.83,,,,,"4,00%",,3
186,VRTA11,Títulos e Val. Mob.,"R$ 105,00",140280.0,"R$ 1,19","1,14%","3,48%","6,38%","11,36%","1,16%","1,06%","0,95%","11,36%","2,98%","4,16%","1,40%","R$ 1.057.669.059,51","R$ 97,03",1.08,,,,,,,0
187,HPDP11,Shoppings,"R$ 83,49",20.0,"R$ 0,50","0,63%","1,64%","2,84%","4,02%","0,55%","0,47%","0,33%","4,02%","1,48%","2,12%","-4,40%","R$ 275.896.915,88","R$ 94,85",0.88,,,,,"1,60%",,1
188,JFLL11,Residencial,"R$ 78,63",9760.0,"R$ 0,62","0,81%","2,57%","4,84%","0,00%","0,86%","0,81%","0,00%","8,22%","14,94%","15,87%","-16,43%","R$ 149.192.045,36","R$ 99,42",0.79,,,,,"28,00%",,2
189,RBRS11,Híbrido,"R$ 67,63",60.0,"R$ 0,42","0,65%","1,89%","3,65%","6,65%","0,63%","0,61%","0,55%","6,65%","-0,03%","0,62%","-25,35%","R$ 129.844.879,35","R$ 93,45",0.72,,,,,,,0
190,BCRI11,Títulos e Val. Mob.,"R$ 111,00",158020.0,"R$ 1,35","1,25%","3,40%","6,33%","12,79%","1,13%","1,05%","1,07%","12,79%","3,88%","5,18%","3,65%","R$ 667.242.431,60","R$ 106,62",1.04,,,,,,,0
191,NVIF11B,Outros,,,"R$ 1,33","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 85.719.503,48","R$ 254,06",,,,,,,,0
192,VINO11,Lajes Corporativas,"R$ 51,65",382660.0,"R$ 0,50","0,88%","2,76%","5,58%","9,98%","0,92%","0,93%","0,83%","9,98%","2,13%","3,03%","-1,83%","R$ 699.302.246,47","R$ 55,18",0.94,,,,,"4,20%",,9
193,VILG11,Logística,"R$ 102,50",192710.0,"R$ 0,70","0,66%","2,02%","3,75%","6,57%","0,67%","0,62%","0,55%","6,57%","19,64%","20,44%","-6,86%","R$ 1.712.192.304,32","R$ 114,17",0.9,,,,,"0,00%",,16
194,PORD11,Títulos e Val. Mob.,"R$ 93,47",57730.0,"R$ 1,08","1,12%","3,33%","6,05%","11,32%","1,11%","1,01%","0,94%","11,32%","5,12%","6,31%","3,85%","R$ 370.483.839,84","R$ 99,37",0.94,,,,,,,0
195,XPCA11,Títulos e Val. Mob.,"R$ 9,66",477640.0,"R$ 0,08","0,83%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,83%","0,00%","0,83%","0,83%","R$ 134.714.550,47","R$ 9,56",1.01,,,,,,,0
196,HSRE11,Híbrido,"R$ 100,00",101560.0,"R$ 0,87","0,88%","2,03%","3,72%","0,00%","0,68%","0,62%","0,00%","4,28%","1,54%","2,43%","5,42%","R$ 827.718.748,36","R$ 97,17",1.03,,,,,"0,00%",,29
197,HSLG11,Logística,"R$ 89,85",109870.0,"R$ 0,58","0,60%","2,01%","3,84%","7,05%","0,67%","0,64%","0,59%","7,05%","21,82%","22,55%","-9,45%","R$ 1.428.239.437,19","R$ 112,81",0.8,,,,,"0,98%",,5
198,HSAF11,Títulos e Val. Mob.,"R$ 94,75",25740.0,"R$ 1,00","1,06%","3,38%","6,24%","12,37%","1,13%","1,04%","1,03%","12,37%","5,98%","7,10%","13,88%","R$ 170.274.904,76","R$ 96,00",0.99,,,,,,,0
199,LUGG11,Residencial,"R$ 86,80",570.0,"R$ 0,57","0,65%","1,83%","3,42%","6,61%","0,61%","0,57%","0,55%","6,61%","4,44%","5,12%","-6,53%","R$ 112.474.520,83","R$ 124,97",0.69,,,,,"5,50%",,4
200,IDFI11,Híbrido,"R$ 101,95",450.0,"R$ 1,69","1,66%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,58%","0,00%","1,66%","3,61%","R$ 208.595.695,44","R$ 101,36",1.01,,,,,,,0
201,RBCO11,Lajes Corporativas,"R$ 55,59",12270.0,"R$ 0,41","0,73%","2,36%","4,57%","8,40%","0,79%","0,76%","0,70%","8,40%","7,19%","7,98%","-28,07%","R$ 378.738.232,01","R$ 100,22",0.55,,,,,"46,00%","50,00%",4
202,QIRI11,Títulos e Val. Mob.,"R$ 90,00",1270.0,"R$ 0,67","0,74%","2,08%","3,69%","7,84%","0,69%","0,62%","0,65%","7,84%","4,60%","5,37%","-2,54%","R$ 13.503.706,62","R$ 90,02",1.0,,,,,,,0
203,MFII11,Híbrido,"R$ 110,25",40870.0,"R$ 1,25","1,11%","3,39%","6,47%","11,20%","1,13%","1,08%","0,93%","11,20%","7,53%","8,73%","-5,66%","R$ 417.300.264,11","R$ 100,63",1.1,,,,,,,9
204,VCRR11,Residencial,"R$ 77,50",38480.0,"R$ 0,67","0,85%","2,66%","0,00%","0,00%","0,89%","0,00%","0,00%","4,98%","13,13%","14,09%","-6,79%","R$ 239.192.558,80","R$ 119,60",0.65,,,,,,,0
205,FIIP11B,Logística,"R$ 164,00",32920.0,"R$ 1,30","0,73%","2,26%","4,37%","7,96%","0,75%","0,73%","0,66%","7,96%","10,71%","11,52%","-6,47%","R$ 185.759.454,51","R$ 200,35",0.82,,,,,"0,00%",,7
